facility_type,n,mean_error_log,median_abs_error_log,mean_abs_error_log,mean_abs_error_viewers
미술관,56,-0.2752189935103627,0.8799964950710999,1.090315397727492,27715.939378406696
박물관,172,0.12293239155729421,0.8534642172766187,1.0411350994161066,67908.18300850458
