facility_type,facility_count,mean_viewers,median_viewers,total_viewers,mean_log_viewers,median_log_viewers,mean_operating_years,median_open_days,median_land_area,median_education_area,median_program_count,median_data_count,mobile_provided_rate,sound_provided_rate,prediction_count,mean_error_viewers,median_abs_error_viewers
미술관,294,60374.8256227758,13400.0,16965326.0,9.571784513856889,9.503084610020228,16.34013605442177,300.0,3501.0,107.0,7.0,1500.0,0.21768707482993196,0.17006802721088435,56,10216.00888973387,9840.514675612725
박물관,897,86859.3761682243,21353.0,74351626.0,9.880351904961248,9.968982721756971,21.286510590858416,307.0,6601.5,156.0,6.0,2143.0,0.21058558558558557,0.13048368953880765,172,35400.62899386743,14546.957414235192
