facility_type,n,mean_log_viewers,median_log_viewers,std_log_viewers,mean_viewers,median_viewers
박물관,856,9.880351904961248,9.968982721756971,1.861554374320312,86859.3761682243,21353.0
미술관,281,9.571784513856889,9.503084610020228,1.698100464084613,60374.8256227758,13400.0
