term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],sig
Intercept,1.2230829092292494,0.4351028916765437,2.8110199509740137,0.004938472355497866,0.3702969119739913,2.0758689064845077,**
C(facility_type)[T.박물관],0.16773330291918662,0.12232560417363977,1.3712035518017238,0.1703115113062167,-0.07202047564824987,0.4074870814866231,n.s.
C(REGION_GROUP)[T.경상권],0.47248391235776144,0.17434235133442302,2.710092577858171,0.006726443046524174,0.1307791827622637,0.8141886419532591,**
C(REGION_GROUP)[T.수도권],0.530733319376228,0.17001512746964395,3.121682918897849,0.0017982049899009304,0.19750979270873947,0.8639568460437166,**
C(REGION_GROUP)[T.전라권],0.582521683421788,0.18314779150872704,3.180609925039859,0.0014696537054400265,0.22355860821663226,0.9414847586269437,**
C(REGION_GROUP)[T.제주권],0.7677259377219987,0.25515539977551255,3.0088563220588282,0.0026223309695371884,0.26763054370107475,1.2678213317429226,**
C(REGION_GROUP)[T.충청권],0.3196638677666498,0.20486368801268154,1.5603734896486967,0.11867164584577873,-0.08186158247825603,0.7211893180115556,n.s.
OPERATING_YEARS,0.001895354855378741,0.003260661967912874,0.5812791617255387,0.5610523225887253,-0.00449542516748999,0.008286134878247472,n.s.
OPNNG_DAY_CO,0.010279477591429227,0.001068869880207775,9.617145905010462,6.768308466806574e-22,0.008184531122062346,0.012374424060796108,***
LOG1P_LND_AR_VALUE,0.2612277867850791,0.03658129745013984,7.141020275213898,9.264068422351761e-13,0.18952976127505808,0.3329258122951001,***
LOG1P_EDC_FCLTY_AR_VALUE,0.39464095169705415,0.05654072926973641,6.979764088545049,2.9567613718269614e-12,0.2838231586687411,0.5054587447253672,***
LOG1P_TOT_PROGRM_CO,0.4580638061347344,0.06578514954368045,6.9630275117119895,3.3303674996163516e-12,0.32912728231153915,0.5870003299579296,***
